Issue,Count
high utilization cpu,1969
high utilization hdd,662
window account locked,630
account locked kindly,622
locked kindly check,617
password reset required,574
window password reset,539
lease line issue,470
vulnerability report server,381
server msilesectest high,381
msilesectest high utilization,381
application related vulnerability,380
related vulnerability report,380
internet working properly,248
desktop working slow,227
high utilization ram,185
camera offline alert,164
mail outlook opening,155
app issue mdm,154
server multad high,142
multad high utilization,142
laptop working slow,139
unable send mail,138
update issue mdm,134
server qsbifs high,117
qsbifs high utilization,117
server msilhanahv high,110
msilhanahv high utilization,110
mail showing outlook,109
server msilgrfid high,109
msilgrfid high utilization,109
server msilmfr high,109
msilmfr high utilization,109
server appsdmsmaruti com,103
account getting locked,99
server msilengsao high,99
msilengsao high utilization,99
server awsetl high,91
awsetl high utilization,91
getting locked frequently,91
vt password working,89
lease line connectivity,86
dm lease line,85
line connectivity problem,85
server msilmvcctvpr high,82
msilmvcctvpr high utilization,82
unable add printer,81
user faced issue,79
apps update issue,75
user wish reset,74
